Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,≤3,≥10,Apr,May,Jun,Year,Wins,Champion,Conference_Champion,Aug,Sep,Oct,Jul,M,Mar,E_Wins,E_Losses,W_Wins,W_Losses,E_Games,W_Games
1,Oklahoma City Thunder,16-7,11-2,5-5,4-3,12-4,,4-3,,8-4,,4-0,2-2,10-3,4-0,8-4,4-3,2025,16.0,1,1,,,,,,,,,,,,
2,Indiana Pacers,15-8,8-3,7-5,12-4,3-4,4-2,8-2,,3-4,,,4-0,5-6,4-1,8-3,3-4,2025,15.0,0,1,,,,,,,,,,,,
3,New York Knicks,10-8,4-5,6-3,10-8,,4-2,6-6,,,,,5-2,3-3,3-2,7-6,,2025,10.0,0,0,,,,,,,,,,,,
4,Minnesota Timberwolves,9-6,5-2,4-4,,9-6,,,,1-4,8-2,,1-1,5-4,4-1,5-5,,2025,9.0,0,0,,,,,,,,,,,,
5,Denver Nuggets,7-7,5-2,2-5,,7-7,,,,3-4,4-3,,3-1,3-3,3-2,4-5,,2025,7.0,0,0,,,,,,,,,,,,
6,Boston Celtics,6-5,4-2,2-3,6-5,,2-4,,4-1,,,,0-3,4-1,4-1,2-4,,2025,6.0,0,0,,,,,,,,,,,,
7,Cleveland Cavaliers,5-4,2-3,3-1,5-4,,,1-4,4-0,,,,0-1,4-1,4-0,1-4,,2025,5.0,0,0,,,,,,,,,,,,
8,Golden State Warriors,5-7,2-3,3-4,,5-7,,,,1-4,,4-3,1-0,4-4,3-2,2-5,,2025,5.0,0,0,,,,,,,,,,,,
9,Houston Rockets,3-4,2-2,1-2,,3-4,,,,,3-4,,0-1,2-3,2-3,1-1,,2025,3.0,0,0,,,,,,,,,,,,
10,Los Angeles Clippers,3-4,2-1,1-3,,3-4,,,,3-4,,,1-2,1-2,2-3,1-1,,2025,3.0,0,0,,,,,,,,,,,,
11,Detroit Pistons,2-4,0-3,2-1,2-4,,2-4,,,,,,1-3,0-1,2-3,0-1,,2025,2.0,0,0,,,,,,,,,,,,
