Source_Team,Mapped_Team,Start_Year,End_Year
New Orleans Hornets,New Orleans Pelicans,,
New Orleans/Oklahoma City Hornets,New Orleans Pelicans,,
New Jersey Nets,Brooklyn Nets,,
New York Nets,Brooklyn Nets,,
Vancouver Grizzlies,Memphis Grizzlies,,
Charlotte Bobcats,Charlotte Hornets,,
Washington Bullets,Washington Wizards,,
Baltimore Bullets,Washington Wizards,,
Capital Bullets,Washington Wizards,,
Chicago Packers,Washington Wizards,,
Chicago Zephyrs,Washington Wizards,,
Kansas City Kings,Sacramento Kings,,
Kansas City-Omaha Kings,Sacramento Kings,,
Cincinnati Royals,Sacramento Kings,,
San Diego Clippers,Los Angeles Clippers,,
Buffalo Braves,Los Angeles Clippers,,
San Francisco Warriors,Golden State Warriors,,
Philadelphia Warriors,Golden State Warriors,,
San Diego Rockets,Houston Rockets,,
New Orleans Jazz,Utah Jazz,,
Syracuse Nationals,Philadelphia 76ers,,
St. Louis Hawks,Atlanta Hawks,,
Minneapolis Lakers,Los Angeles Lakers,,
Charlotte Hornets,New Orleans Pelicans,,2002
Seattle SuperSonics,Oklahoma City Thunder,,2008
