Team,Window_Start,Window_End,Count,Years_In_Window
Boston Celtics,1960,1963,4,"[1960, 1961, 1962, 1963]"
Boston Celtics,1964,1968,4,"[1964, 1965, 1966, 1968]"
Boston Celtics,1981,1986,4,"[1981, 1984, 1985, 1986]"
Chicago Bulls,1991,1996,4,"[1991, 1992, 1993, 1996]"
Cleveland Cavaliers,2015,2018,4,"[2015, 2016, 2017, 2018]"
Golden State Warriors,2015,2018,4,"[2015, 2016, 2017, 2018]"
Los Angeles Lakers,1962,1966,4,"[1962, 1963, 1965, 1966]"
Los Angeles Lakers,1968,1972,4,"[1968, 1969, 1970, 1972]"
Los Angeles Lakers,1980,1984,4,"[1980, 1982, 1983, 1984]"
Los Angeles Lakers,1985,1989,4,"[1985, 1987, 1988, 1989]"
Los Angeles Lakers,2000,2004,4,"[2000, 2001, 2002, 2004]"
Miami Heat,2011,2014,4,"[2011, 2012, 2013, 2014]"
