Team,Streak_Begin,Streak_End
Atlanta Hawks,2000,2004
Boston Celtics,1996,2000
Brooklyn Nets,1987,1991
Brooklyn Nets,2008,2012
Charlotte Hornets,2005,2009
Charlotte Hornets,2017,2021
Chicago Bulls,1999,2003
Cleveland Cavaliers,1971,1975
Cleveland Cavaliers,1979,1983
Cleveland Cavaliers,1999,2003
Dallas Mavericks,1991,1995
Dallas Mavericks,1996,2000
Denver Nuggets,1996,2000
Denver Nuggets,2014,2018
Detroit Pistons,1969,1973
Detroit Pistons,1978,1982
Detroit Pistons,2010,2014
Detroit Pistons,2020,2024
Golden State Warriors,1978,1982
Golden State Warriors,1995,1999
Golden State Warriors,2000,2004
Golden State Warriors,2008,2012
Houston Rockets,1970,1974
Indiana Pacers,1982,1986
Los Angeles Clippers,1977,1981
Los Angeles Clippers,1982,1986
Los Angeles Clippers,1987,1991
Los Angeles Clippers,1998,2002
Los Angeles Clippers,2007,2011
Los Angeles Lakers,2014,2018
Memphis Grizzlies,1996,2000
Milwaukee Bucks,1992,1996
Minnesota Timberwolves,1990,1994
Minnesota Timberwolves,2005,2009
Minnesota Timberwolves,2010,2014
New York Knicks,1960,1964
New York Knicks,2005,2009
New York Knicks,2014,2018
Oklahoma City Thunder,1968,1972
Orlando Magic,2013,2017
Philadelphia 76ers,1992,1996
Philadelphia 76ers,2013,2017
Phoenix Suns,1971,1975
Phoenix Suns,2011,2015
Phoenix Suns,2016,2020
Portland Trail Blazers,1971,1975
Portland Trail Blazers,2004,2008
Sacramento Kings,1968,1972
Sacramento Kings,1987,1991
Sacramento Kings,2007,2011
Sacramento Kings,2012,2016
Sacramento Kings,2017,2021
San Antonio Spurs,2020,2024
Toronto Raptors,2009,2013
Utah Jazz,1975,1979
Washington Wizards,1989,1993
Washington Wizards,1998,2002
Washington Wizards,2009,2013
