Team,Window_Start,Window_End,Count,Years_In_Window
Atlanta Hawks,2000,2004,5,"[2000, 2001, 2002, 2003, 2004]"
Boston Celtics,1994,1999,5,"[1994, 1996, 1997, 1998, 1999]"
Brooklyn Nets,1987,1991,5,"[1987, 1988, 1989, 1990, 1991]"
Brooklyn Nets,1995,2000,5,"[1995, 1996, 1997, 1999, 2000]"
Brooklyn Nets,2008,2012,5,"[2008, 2009, 2010, 2011, 2012]"
Charlotte Hornets,2005,2009,5,"[2005, 2006, 2007, 2008, 2009]"
Charlotte Hornets,2011,2017,5,"[2011, 2012, 2013, 2015, 2017]"
Charlotte Hornets,2018,2022,5,"[2018, 2019, 2020, 2021, 2022]"
Chicago Bulls,1976,1982,5,"[1976, 1978, 1979, 1980, 1982]"
Chicago Bulls,1999,2003,5,"[1999, 2000, 2001, 2002, 2003]"
Chicago Bulls,2016,2021,5,"[2016, 2018, 2019, 2020, 2021]"
Cleveland Cavaliers,1971,1975,5,"[1971, 1972, 1973, 1974, 1975]"
Cleveland Cavaliers,1979,1983,5,"[1979, 1980, 1981, 1982, 1983]"
Cleveland Cavaliers,1997,2002,5,"[1997, 1999, 2000, 2001, 2002]"
Dallas Mavericks,1989,1994,5,"[1989, 1991, 1992, 1993, 1994]"
Dallas Mavericks,1995,1999,5,"[1995, 1996, 1997, 1998, 1999]"
Denver Nuggets,1991,1997,5,"[1991, 1992, 1993, 1996, 1997]"
Denver Nuggets,1998,2002,5,"[1998, 1999, 2000, 2001, 2002]"
Denver Nuggets,2014,2018,5,"[2014, 2015, 2016, 2017, 2018]"
Detroit Pistons,1964,1969,5,"[1964, 1965, 1966, 1967, 1969]"
Detroit Pistons,1978,1982,5,"[1978, 1979, 1980, 1981, 1982]"
Detroit Pistons,2010,2014,5,"[2010, 2011, 2012, 2013, 2014]"
Detroit Pistons,2015,2021,5,"[2015, 2017, 2018, 2020, 2021]"
Golden State Warriors,1978,1982,5,"[1978, 1979, 1980, 1981, 1982]"
Golden State Warriors,1983,1988,5,"[1983, 1984, 1985, 1986, 1988]"
Golden State Warriors,1993,1998,5,"[1993, 1995, 1996, 1997, 1998]"
Golden State Warriors,1999,2003,5,"[1999, 2000, 2001, 2002, 2003]"
Golden State Warriors,2004,2009,5,"[2004, 2005, 2006, 2008, 2009]"
Houston Rockets,1968,1973,5,"[1968, 1970, 1971, 1972, 1973]"
Houston Rockets,2000,2006,5,"[2000, 2001, 2002, 2003, 2006]"
Indiana Pacers,1977,1982,5,"[1977, 1978, 1979, 1980, 1982]"
Indiana Pacers,1983,1988,5,"[1983, 1984, 1985, 1986, 1988]"
Los Angeles Clippers,1977,1981,5,"[1977, 1978, 1979, 1980, 1981]"
Los Angeles Clippers,1982,1986,5,"[1982, 1983, 1984, 1985, 1986]"
Los Angeles Clippers,1987,1991,5,"[1987, 1988, 1989, 1990, 1991]"
Los Angeles Clippers,1994,1999,5,"[1994, 1995, 1996, 1998, 1999]"
Los Angeles Clippers,2000,2004,5,"[2000, 2001, 2002, 2003, 2004]"
Los Angeles Clippers,2005,2010,5,"[2005, 2007, 2008, 2009, 2010]"
Los Angeles Lakers,2014,2018,5,"[2014, 2015, 2016, 2017, 2018]"
Memphis Grizzlies,1996,2000,5,"[1996, 1997, 1998, 1999, 2000]"
Miami Heat,1989,1995,5,"[1989, 1990, 1991, 1993, 1995]"
Milwaukee Bucks,1992,1996,5,"[1992, 1993, 1994, 1995, 1996]"
Milwaukee Bucks,2005,2011,5,"[2005, 2007, 2008, 2009, 2011]"
Minnesota Timberwolves,1990,1994,5,"[1990, 1991, 1992, 1993, 1994]"
Minnesota Timberwolves,2005,2009,5,"[2005, 2006, 2007, 2008, 2009]"
Minnesota Timberwolves,2010,2014,5,"[2010, 2011, 2012, 2013, 2014]"
Minnesota Timberwolves,2015,2020,5,"[2015, 2016, 2017, 2019, 2020]"
New Orleans Pelicans,1989,1994,5,"[1989, 1990, 1991, 1992, 1994]"
New Orleans Pelicans,2010,2016,5,"[2010, 2012, 2013, 2014, 2016]"
New York Knicks,1960,1964,5,"[1960, 1961, 1962, 1963, 1964]"
New York Knicks,1976,1982,5,"[1976, 1977, 1979, 1980, 1982]"
New York Knicks,2002,2007,5,"[2002, 2003, 2005, 2006, 2007]"
New York Knicks,2014,2018,5,"[2014, 2015, 2016, 2017, 2018]"
Oklahoma City Thunder,1968,1972,5,"[1968, 1969, 1970, 1971, 1972]"
Oklahoma City Thunder,2001,2007,5,"[2001, 2003, 2004, 2006, 2007]"
Orlando Magic,2013,2017,5,"[2013, 2014, 2015, 2016, 2017]"
Philadelphia 76ers,1992,1996,5,"[1992, 1993, 1994, 1995, 1996]"
Philadelphia 76ers,2010,2016,5,"[2010, 2013, 2014, 2015, 2016]"
Phoenix Suns,1969,1974,5,"[1969, 1971, 1972, 1973, 1974]"
Phoenix Suns,2009,2014,5,"[2009, 2011, 2012, 2013, 2014]"
Phoenix Suns,2015,2019,5,"[2015, 2016, 2017, 2018, 2019]"
Portland Trail Blazers,1971,1975,5,"[1971, 1972, 1973, 1974, 1975]"
Portland Trail Blazers,2004,2008,5,"[2004, 2005, 2006, 2007, 2008]"
Sacramento Kings,1968,1972,5,"[1968, 1969, 1970, 1971, 1972]"
Sacramento Kings,1973,1978,5,"[1973, 1974, 1976, 1977, 1978]"
Sacramento Kings,1982,1988,5,"[1982, 1983, 1985, 1987, 1988]"
Sacramento Kings,1989,1993,5,"[1989, 1990, 1991, 1992, 1993]"
Sacramento Kings,2007,2011,5,"[2007, 2008, 2009, 2010, 2011]"
Sacramento Kings,2012,2016,5,"[2012, 2013, 2014, 2015, 2016]"
Sacramento Kings,2017,2021,5,"[2017, 2018, 2019, 2020, 2021]"
San Antonio Spurs,2020,2024,5,"[2020, 2021, 2022, 2023, 2024]"
Toronto Raptors,2003,2009,5,"[2003, 2004, 2005, 2006, 2009]"
Utah Jazz,1975,1979,5,"[1975, 1976, 1977, 1978, 1979]"
Utah Jazz,2011,2016,5,"[2011, 2013, 2014, 2015, 2016]"
Washington Wizards,1962,1968,5,"[1962, 1963, 1964, 1967, 1968]"
Washington Wizards,1989,1993,5,"[1989, 1990, 1991, 1992, 1993]"
Washington Wizards,1994,1999,5,"[1994, 1995, 1996, 1998, 1999]"
Washington Wizards,2000,2004,5,"[2000, 2001, 2002, 2003, 2004]"
Washington Wizards,2009,2013,5,"[2009, 2010, 2011, 2012, 2013]"
Washington Wizards,2019,2024,5,"[2019, 2020, 2022, 2023, 2024]"
