Team,Streak_Begin,Streak_End
Atlanta Hawks,1975,1976
Brooklyn Nets,1977,1978
Brooklyn Nets,1987,1988
Brooklyn Nets,2016,2017
Charlotte Hornets,2005,2006
Charlotte Hornets,2012,2013
Chicago Bulls,1999,2000
Chicago Bulls,2001,2002
Cleveland Cavaliers,1971,1972
Cleveland Cavaliers,1982,1983
Cleveland Cavaliers,2019,2020
Dallas Mavericks,1992,1993
Detroit Pistons,1964,1965
Detroit Pistons,1966,1967
Detroit Pistons,1979,1980
Detroit Pistons,2021,2022
Detroit Pistons,2023,2024
Golden State Warriors,1965,1966
Golden State Warriors,2000,2001
Houston Rockets,2021,2022
Indiana Pacers,1983,1984
Indiana Pacers,1985,1986
Los Angeles Clippers,1971,1972
Los Angeles Clippers,1977,1978
Los Angeles Clippers,1987,1988
Los Angeles Clippers,1998,1999
Los Angeles Lakers,2016,2017
Memphis Grizzlies,1996,1997
Miami Heat,1989,1990
Minnesota Timberwolves,1992,1993
Minnesota Timberwolves,1994,1995
Minnesota Timberwolves,2010,2011
New York Knicks,1960,1961
New York Knicks,1962,1963
New York Knicks,1964,1965
New York Knicks,1985,1986
Oklahoma City Thunder,1968,1969
Orlando Magic,2013,2014
Orlando Magic,2021,2022
Philadelphia 76ers,1973,1974
Philadelphia 76ers,2014,2015
Phoenix Suns,2017,2018
Portland Trail Blazers,1971,1972
Portland Trail Blazers,1973,1974
Sacramento Kings,1960,1961
Sacramento Kings,2009,2010
Utah Jazz,1979,1980
Washington Wizards,1962,1963
Washington Wizards,1967,1968
Washington Wizards,2024,2025
