Team,Streak_Begin,Streak_End
Atlanta Hawks,1963,1970
Atlanta Hawks,2008,2015
Boston Celtics,1960,1967
Boston Celtics,1980,1987
Boston Celtics,2015,2022
Chicago Bulls,1985,1992
Dallas Mavericks,2001,2008
Denver Nuggets,1982,1989
Denver Nuggets,2004,2011
Detroit Pistons,1984,1991
Detroit Pistons,2002,2009
Houston Rockets,2013,2020
Indiana Pacers,1998,2005
Los Angeles Lakers,1960,1967
Los Angeles Lakers,1977,1984
Los Angeles Lakers,1985,1992
Los Angeles Lakers,1995,2002
Los Angeles Lakers,2006,2013
Milwaukee Bucks,1980,1987
Milwaukee Bucks,2017,2024
Minnesota Timberwolves,1997,2004
New York Knicks,1967,1974
New York Knicks,1988,1995
Oklahoma City Thunder,1991,1998
Philadelphia 76ers,1960,1967
Philadelphia 76ers,1976,1983
Phoenix Suns,1978,1985
Phoenix Suns,1989,1996
Portland Trail Blazers,1983,1990
Portland Trail Blazers,1991,1998
Portland Trail Blazers,2014,2021
Sacramento Kings,1999,2006
San Antonio Spurs,1998,2005
San Antonio Spurs,2006,2013
Utah Jazz,1984,1991
Utah Jazz,1992,1999
Washington Wizards,1969,1976
